cmap,color_space,num_seeds,mean_best_sigma_val,std_best_sigma_val,min_best_sigma_val,max_best_sigma_val,boxplot_path,paired_t_stat_vs_ref,paired_t_p_vs_ref,mannwhitney_u_vs_ref,mannwhitney_p_vs_ref
rainbow,lab,50,0.1581348997692751,0.0003574979163389752,0.15738545922875544,0.1588879511620156,experiments/full_all_jitter_seed/rainbow_robustness_boxplot_50seeds.png,-142.65931395167607,7.562029046267084e-66,0.0,7.066071930388932e-18
rainbow,oklab,50,0.1415249431429784,0.019815810931987216,0.09796980775797014,0.19292202030798666,experiments/full_all_jitter_seed/rainbow_robustness_boxplot_50seeds.png,2.010733543581013,0.04987317216930217,1550.0,0.0389514842806052
rainbow,sucs,50,0.1471314113202592,0.0003364266188202355,0.14610820354763124,0.14781667402970877,experiments/full_all_jitter_seed/rainbow_robustness_boxplot_50seeds.png,nan,nan,nan,nan
rainbow,jzazbz,50,1.009429876186725,1.2510991425107312,0.18905695039808218,4.648812274463794,experiments/full_all_jitter_seed/rainbow_robustness_boxplot_50seeds.png,-4.873554135692755,1.1919323965799005e-05,0.0,7.066071930388932e-18
jet,lab,50,0.27631132016811427,0.00024247081378755847,0.27585559488961675,0.2769717356650832,experiments/full_all_jitter_seed/jet_robustness_boxplot_50seeds.png,-1094.3182177015328,3.5153266846304035e-109,0.0,7.066071930388932e-18
jet,oklab,50,0.19984497230359796,0.024871478829213485,0.1334158246548318,0.25504571656142366,experiments/full_all_jitter_seed/jet_robustness_boxplot_50seeds.png,7.822573707735886,3.5713863837085285e-10,2151.0,5.370249340419538e-10
jet,sucs,50,0.22738919571306762,0.00017894294481763588,0.22695350746048445,0.22777472745529728,experiments/full_all_jitter_seed/jet_robustness_boxplot_50seeds.png,nan,nan,nan,nan
jet,jzazbz,50,1.4315832750995368,1.2150866281834403,0.33745140989719813,4.150265765453818,experiments/full_all_jitter_seed/jet_robustness_boxplot_50seeds.png,-7.007295527029107,6.463363383055478e-09,0.0,7.066071930388932e-18
nipy_spectral,lab,50,0.5520771787450943,0.004711390144661386,0.5384323888083415,0.5553742309267734,experiments/full_all_jitter_seed/nipy_spectral_robustness_boxplot_50seeds.png,-136.5801013843973,6.354491775883509e-65,0.0,7.066071930388932e-18
nipy_spectral,oklab,50,0.3032205697591035,0.02753181300127325,0.2417392625350711,0.3690635890979447,experiments/full_all_jitter_seed/nipy_spectral_robustness_boxplot_50seeds.png,40.528680390714456,2.3846825969507725e-39,2500.0,7.066071930388932e-18
nipy_spectral,sucs,50,0.46084130606312174,0.0003527109083513219,0.45991674004037,0.46153841248588906,experiments/full_all_jitter_seed/nipy_spectral_robustness_boxplot_50seeds.png,nan,nan,nan,nan
